District,Lat,Lon
Praga-Północ,52.25135924,21.03409712
Bemowo,52.23881659,20.91470512
Wilanów,52.1646199,21.08296844
Białołęka,52.32109332,20.97115589
Śródmieście,52.22813251,21.0112874
Ursynów,52.14907885,21.04598491
Mokotów,52.20870112,21.01536403
Bielany,52.27682222,20.94821762
Wola,52.24026853,20.98779896
Ursus,52.19610616,20.88506224
Targówek,52.29156371,21.04951351
Ochota,52.22167148,20.98702393
Praga-Południe,52.24681384,21.06920322
Żoliborz,52.27003988,20.98363043
Rembertów,52.25896492,21.16231388
Włochy,52.19246166,20.95987131
Wawer,52.20615493,21.17174071
Wesoła,52.24600932,21.22412166
